               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10643,             0.03106,                   0,           0.0012963,            0.093333,          0.00081052,          0.00023568,            0.095967,            0.029685,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.096173,              0.0334,                   0,           0.0014155,             0.10333,          0.00095803,          0.00026709,            0.088679,            0.030399,                   0,            0.066517,           0.0035168,           0.0035168
                   2,            0.085462,            0.033351,                   0,           0.0019484,             0.55333,           0.0021846,          0.00052862,            0.084617,            0.030313,                   0,            0.049046,           0.0050456,           0.0050456
                   3,            0.079943,            0.033977,                   0,              0.0025,                0.75,           0.0043218,          0.00095149,            0.082941,            0.029817,                   0,            0.031386,           0.0063862,           0.0063862
                   4,            0.077108,            0.034361,                   0,           0.0032667,                0.98,             0.25028,            0.049298,            0.078227,            0.029718,                   0,            0.013539,           0.0075388,           0.0075388
                   5,            0.075314,             0.03162,                   0,           0.0032222,             0.96667,             0.38179,            0.071573,            0.068071,             0.02932,                   0,            0.007525,            0.007525,            0.007525
                   6,            0.069085,            0.030878,                   0,             0.30587,                0.57,             0.47451,             0.11851,            0.056912,            0.026593,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.062168,            0.030431,                   0,            0.064595,             0.74333,             0.34485,            0.068341,            0.062216,            0.032899,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.058087,            0.031014,                   0,             0.43434,             0.67333,             0.62065,             0.29098,            0.073159,            0.032542,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.055671,            0.027356,                   0,             0.73519,             0.28689,             0.36538,            0.072153,             0.06979,             0.03134,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.049923,            0.026581,                   0,             0.40283,                0.41,             0.28572,            0.095882,            0.065397,            0.031756,                   0,            0.005545,            0.005545,            0.005545
                  11,             0.04872,            0.024497,                   0,             0.56499,                0.77,             0.65355,             0.27189,            0.041635,            0.029893,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.047853,            0.024523,                   0,             0.54019,                0.51,              0.4494,             0.17427,            0.064468,            0.087421,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.043633,            0.022854,                   0,             0.79488,             0.81378,             0.85252,              0.4585,            0.039265,            0.022421,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.042232,            0.020493,                   0,             0.82685,                 0.9,             0.91495,             0.48632,            0.038544,            0.020699,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.039585,            0.019857,                   0,             0.99699,             0.99333,               0.995,             0.52941,            0.032119,            0.016558,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.036759,            0.018702,                   0,             0.99921,                   1,               0.995,             0.67324,            0.027923,            0.016166,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.035474,            0.018057,                   0,              0.9958,                   1,             0.99483,             0.70553,            0.026462,             0.01544,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.033458,            0.017553,                   0,             0.94978,             0.95667,             0.95712,             0.41985,            0.041787,             0.01762,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.031766,            0.017054,                   0,             0.99951,                   1,               0.995,             0.73102,            0.023074,            0.014755,                   0,             0.00109,             0.00109,             0.00109
