               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10553,             0.02978,                   0,           0.0020113,             0.60338,           0.0021009,          0.00051367,            0.089115,            0.029529,                   0,              0.0703,              0.0033,              0.0033
                   1,            0.084967,            0.030858,                   0,           0.0076785,            0.039474,            0.012358,           0.0028502,            0.087453,            0.022915,                   0,            0.040169,            0.006502,            0.006502
                   2,            0.062392,             0.02896,                   0,             0.48937,             0.48398,             0.51089,             0.15022,            0.057525,            0.031219,                   0,           0.0099053,            0.009572,            0.009572
                   3,            0.051233,            0.023096,                   0,             0.88459,             0.82707,             0.87737,             0.51038,            0.037693,            0.019252,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.043367,            0.017773,                   0,             0.95603,             0.96727,             0.97615,             0.64668,            0.030789,            0.012862,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.038731,             0.01457,                   0,             0.92072,             0.83208,             0.90081,              0.5811,            0.039865,            0.013419,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.035079,            0.012753,                   0,             0.97166,             0.99687,             0.99032,             0.62073,            0.025358,           0.0094324,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.032877,            0.011559,                   0,             0.97098,             0.99561,             0.98824,              0.6758,            0.022555,           0.0089053,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.030676,            0.010978,                   0,             0.97668,             0.99729,             0.98815,             0.64363,            0.022925,           0.0079169,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.028337,            0.009987,                   0,             0.96405,             0.99123,             0.99175,             0.73868,             0.02136,           0.0076964,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.027597,           0.0094274,                   0,             0.96904,             0.99687,             0.98242,             0.71279,             0.02153,           0.0074708,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.02644,           0.0091558,                   0,             0.98373,                   1,             0.99343,             0.73538,             0.01947,           0.0069542,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.025495,           0.0085708,                   0,             0.98101,             0.99937,             0.98554,             0.72396,            0.019215,           0.0067244,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.024343,           0.0085505,                   0,             0.97848,             0.99699,             0.99112,             0.74713,            0.019251,           0.0065057,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.023693,           0.0082653,                   0,             0.98414,                   1,             0.98734,             0.75443,            0.017756,           0.0063081,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.022757,           0.0079493,                   0,             0.98915,                   1,             0.99062,             0.78295,            0.017136,           0.0061762,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.021839,           0.0078079,                   0,              0.9812,                   1,             0.99315,             0.73606,             0.01981,            0.006325,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.021408,            0.007592,                   0,             0.98946,             0.99985,             0.98678,             0.79454,            0.016206,           0.0059801,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.02139,            0.007776,                   0,             0.96602,             0.93797,             0.98667,             0.73367,            0.022883,           0.0078932,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.019992,           0.0074915,                   0,             0.99688,             0.99982,             0.99461,             0.79977,            0.015998,           0.0056463,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.019873,           0.0072204,                   0,             0.99136,             0.93672,             0.98201,             0.75259,            0.019624,           0.0073054,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.018863,           0.0072629,                   0,             0.99606,                   1,             0.99485,             0.79246,            0.016794,            0.005598,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.018845,           0.0069681,                   0,             0.99044,                   1,             0.99427,             0.80626,            0.014902,           0.0056348,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.018468,           0.0068715,                   0,             0.99705,             0.99875,              0.9949,             0.82846,            0.014166,           0.0053081,                   0,            0.005644,            0.005644,            0.005644
