               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10612,            0.029689,            0.036804,           0.0003082,              0.2065,           0.0003876,          8.2704e-05,             0.08805,            0.029771,            0.036995,              0.0703,              0.0033,              0.0033
                   1,            0.088754,            0.028394,             0.02341,             0.07829,            0.043065,            0.025079,           0.0060743,             0.12366,            0.051153,             0.17081,            0.040234,           0.0065677,           0.0065677
                   2,            0.073575,            0.024608,           0.0084013,             0.28286,             0.57205,             0.28712,             0.12017,            0.078421,            0.042731,            0.004728,            0.010103,           0.0097693,           0.0097693
                   3,            0.060431,            0.021481,           0.0043016,             0.57967,              0.7211,             0.67797,             0.28326,            0.040793,            0.020328,           0.0040938,            0.009703,            0.009703,            0.009703
                   4,            0.050041,            0.017891,            0.002807,             0.62669,             0.85048,             0.81411,             0.45091,            0.044689,            0.014549,           0.0029151,            0.009703,            0.009703,            0.009703
                   5,            0.044788,            0.015329,           0.0024628,             0.79344,             0.86011,             0.84078,             0.41004,            0.045151,            0.012645,           0.0027433,            0.009604,            0.009604,            0.009604
                   6,            0.040851,            0.013213,           0.0023914,             0.86429,             0.96296,             0.94924,             0.59569,            0.035579,            0.011236,           0.0017048,            0.009505,            0.009505,            0.009505
                   7,            0.036909,            0.012179,           0.0022948,             0.91683,             0.98208,             0.98963,             0.63318,            0.027199,           0.0095609,           0.0015752,            0.009406,            0.009406,            0.009406
                   8,            0.035557,            0.011352,           0.0017963,             0.96968,             0.98925,             0.98681,             0.70828,            0.024895,           0.0088281,           0.0013515,            0.009307,            0.009307,            0.009307
                   9,            0.033306,            0.010402,           0.0017941,               0.968,             0.99979,             0.98579,             0.65576,            0.025131,           0.0080603,           0.0012378,            0.009208,            0.009208,            0.009208
                  10,            0.031299,           0.0096911,           0.0017292,             0.96093,             0.99888,             0.97752,             0.71515,            0.022541,           0.0077363,           0.0013241,            0.009109,            0.009109,            0.009109
                  11,            0.030179,           0.0094736,           0.0015424,             0.98208,             0.99854,             0.99394,             0.70574,            0.023148,           0.0074386,           0.0010093,             0.00901,             0.00901,             0.00901
                  12,            0.028863,           0.0088056,           0.0016467,             0.98142,             0.99893,             0.99108,             0.64446,            0.023436,           0.0068674,            0.001156,            0.008911,            0.008911,            0.008911
                  13,            0.028197,           0.0088494,           0.0013552,             0.97983,             0.99992,              0.9944,             0.70742,            0.022492,           0.0068683,           0.0012969,            0.008812,            0.008812,            0.008812
                  14,            0.026661,           0.0085076,           0.0013554,             0.97914,                   1,              0.9879,             0.73635,            0.019539,           0.0066079,          0.00099387,            0.008713,            0.008713,            0.008713
                  15,            0.026181,            0.008285,           0.0012636,              0.9865,             0.99961,             0.99355,             0.76494,            0.018268,           0.0064623,           0.0010922,            0.008614,            0.008614,            0.008614
                  16,            0.024975,           0.0080768,           0.0012962,             0.98358,                   1,             0.99233,             0.74721,            0.018182,           0.0063768,          0.00093318,            0.008515,            0.008515,            0.008515
                  17,            0.023811,           0.0078038,           0.0012789,             0.96102,             0.95661,             0.98614,              0.7816,            0.021844,            0.010089,           0.0023646,            0.008416,            0.008416,            0.008416
                  18,            0.023341,           0.0079594,           0.0012358,             0.99216,             0.99888,              0.9946,             0.78873,            0.017652,           0.0060622,          0.00083985,            0.008317,            0.008317,            0.008317
                  19,            0.023695,           0.0077022,            0.001048,             0.98208,             0.99897,             0.99122,              0.7805,            0.017873,           0.0059623,          0.00096202,            0.008218,            0.008218,            0.008218
                  20,            0.022849,            0.007465,           0.0010911,             0.99135,                   1,             0.99475,             0.75392,            0.019426,           0.0058475,          0.00095134,            0.008119,            0.008119,            0.008119
                  21,            0.022068,           0.0076021,          0.00096517,             0.98734,             0.99884,             0.99428,             0.80143,            0.017374,            0.005775,          0.00091951,             0.00802,             0.00802,             0.00802
                  22,            0.021488,           0.0070701,           0.0010995,             0.99161,             0.99867,             0.99462,             0.82312,            0.014744,           0.0054606,            0.001032,            0.007921,            0.007921,            0.007921
                  23,            0.021263,           0.0070569,           0.0010102,             0.98329,                   1,             0.99334,             0.79021,            0.015056,            0.005393,          0.00088897,            0.007822,            0.007822,            0.007822
                  24,            0.021235,           0.0070191,          0.00098218,             0.98917,             0.99888,             0.99397,              0.7917,            0.015431,           0.0055041,           0.0006844,            0.007723,            0.007723,            0.007723
                  25,             0.02052,           0.0069102,          0.00094347,             0.99635,             0.99867,             0.99499,             0.86027,            0.012658,           0.0050707,          0.00065967,            0.007624,            0.007624,            0.007624
                  26,            0.020145,           0.0067978,          0.00083172,             0.99527,             0.99953,             0.99493,             0.80497,            0.013783,           0.0051589,          0.00057956,            0.007525,            0.007525,            0.007525
                  27,            0.019696,            0.006886,          0.00085744,             0.99764,                   1,             0.99499,             0.87731,            0.011746,           0.0048976,          0.00080016,            0.007426,            0.007426,            0.007426
                  28,            0.018671,           0.0065871,          0.00089524,             0.99728,             0.99981,               0.995,             0.85705,            0.011978,           0.0048199,          0.00069053,            0.007327,            0.007327,            0.007327
                  29,            0.019121,           0.0066578,           0.0007425,             0.98972,                   1,             0.99479,             0.85363,            0.012489,           0.0049036,          0.00055459,            0.007228,            0.007228,            0.007228
                  30,            0.018272,           0.0065626,          0.00085277,             0.99936,                   1,               0.995,             0.84179,            0.012227,           0.0047129,          0.00065546,            0.007129,            0.007129,            0.007129
                  31,            0.018019,           0.0063554,          0.00086808,             0.99824,                   1,               0.995,             0.86265,              0.0127,           0.0047356,          0.00062724,             0.00703,             0.00703,             0.00703
                  32,            0.017934,           0.0062354,          0.00082278,             0.99629,                   1,             0.99495,             0.86263,            0.012474,           0.0047703,          0.00072521,            0.006931,            0.006931,            0.006931
                  33,             0.01753,           0.0062389,          0.00079022,             0.99775,                   1,               0.995,             0.88843,            0.011161,           0.0045238,          0.00066904,            0.006832,            0.006832,            0.006832
                  34,            0.017619,           0.0059797,          0.00070624,             0.99517,             0.99933,               0.995,              0.8678,            0.012488,           0.0046884,          0.00056216,            0.006733,            0.006733,            0.006733
                  35,            0.016532,           0.0060503,           0.0008219,             0.99874,                   1,             0.99499,             0.88634,            0.011805,           0.0045816,           0.0006096,            0.006634,            0.006634,            0.006634
                  36,            0.016797,           0.0059961,          0.00075615,             0.99532,                   1,             0.99479,             0.86951,            0.011905,           0.0045048,          0.00052472,            0.006535,            0.006535,            0.006535
                  37,            0.016651,            0.005805,          0.00069694,              0.9976,                   1,               0.995,             0.88759,            0.010601,            0.004346,          0.00049878,            0.006436,            0.006436,            0.006436
                  38,            0.016338,           0.0059768,          0.00069349,              0.9974,                   1,             0.99498,             0.88397,            0.011745,           0.0044406,          0.00055074,            0.006337,            0.006337,            0.006337
                  39,            0.015813,           0.0057805,          0.00069898,             0.99771,                   1,               0.995,             0.89456,            0.010224,           0.0042017,          0.00056291,            0.006238,            0.006238,            0.006238
                  40,             0.01608,           0.0059115,          0.00064001,             0.99766,                   1,               0.995,             0.86773,            0.012141,           0.0043632,          0.00054752,            0.006139,            0.006139,            0.006139
                  41,            0.015806,           0.0056901,           0.0006117,             0.99585,                   1,             0.99499,             0.86673,            0.011342,           0.0043101,           0.0004977,             0.00604,             0.00604,             0.00604
                  42,            0.015679,           0.0055983,          0.00063169,               0.999,                   1,               0.995,             0.89454,            0.010839,           0.0042202,           0.0005014,            0.005941,            0.005941,            0.005941
                  43,            0.015525,           0.0057728,          0.00062805,             0.99914,                   1,               0.995,               0.883,             0.01148,           0.0042425,          0.00045913,            0.005842,            0.005842,            0.005842
                  44,            0.015204,           0.0056135,          0.00059436,             0.99793,                   1,               0.995,             0.88202,            0.010609,           0.0041979,          0.00049167,            0.005743,            0.005743,            0.005743
                  45,            0.015325,           0.0055907,          0.00050692,             0.99868,                   1,               0.995,             0.90321,           0.0098121,           0.0039774,          0.00050269,            0.005644,            0.005644,            0.005644
                  46,            0.014358,           0.0054845,          0.00056858,             0.99845,                   1,               0.995,             0.87687,              0.0109,            0.004124,          0.00042049,            0.005545,            0.005545,            0.005545
                  47,            0.014447,           0.0053363,          0.00058208,             0.99707,                   1,             0.99496,             0.90264,           0.0091306,           0.0039483,          0.00040174,            0.005446,            0.005446,            0.005446
                  48,            0.014667,           0.0054241,          0.00052303,              0.9976,                   1,             0.99498,             0.89672,           0.0093113,           0.0038971,          0.00042982,            0.005347,            0.005347,            0.005347
                  49,             0.01403,           0.0052111,          0.00052469,             0.99753,                   1,               0.995,             0.89945,            0.009231,           0.0038428,          0.00046898,            0.005248,            0.005248,            0.005248
                  50,            0.013992,           0.0052765,          0.00055107,             0.99963,                   1,               0.995,             0.91257,           0.0092258,           0.0038119,          0.00042151,            0.005149,            0.005149,            0.005149
                  51,            0.013641,           0.0053019,          0.00055772,             0.99761,                   1,               0.995,             0.91939,           0.0086372,           0.0037087,          0.00044325,             0.00505,             0.00505,             0.00505
                  52,             0.01323,           0.0051956,          0.00048632,             0.99918,                   1,               0.995,             0.91128,            0.009049,           0.0037714,          0.00039851,            0.004951,            0.004951,            0.004951
