               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11442,            0.029673,                   0,           0.0010377,               0.066,          0.00068184,           0.0001701,             0.10249,            0.029229,                   0,              0.0721,              0.0031,              0.0031
                   1,             0.10094,            0.031426,                   0,           0.0015094,               0.096,           0.0010686,          0.00037318,            0.097372,            0.029435,                   0,            0.043175,           0.0061753,           0.0061753
                   2,            0.088119,            0.033328,                   0,           0.0010237,               0.164,          0.00066689,          0.00013673,            0.092031,            0.029558,                   0,            0.014124,           0.0091238,           0.0091238
                   3,            0.079477,             0.03163,                   0,            0.014583,                0.81,            0.057005,            0.014693,            0.063992,            0.030481,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.073126,            0.030585,                   0,            0.072138,               0.596,            0.067437,            0.020446,            0.070123,            0.027993,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.062413,            0.030522,                   0,            0.089053,               0.236,            0.039418,           0.0069978,             0.08945,             0.17056,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.055499,            0.029203,                   0,             0.22222,               0.802,             0.21286,            0.075585,             0.06172,            0.033506,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.048742,            0.026887,                   0,             0.13465,               0.708,             0.13402,            0.067133,            0.046095,            0.028082,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.047219,            0.022512,                   0,             0.78885,              0.8593,              0.9176,             0.49591,            0.042924,            0.016567,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.042105,             0.01979,                   0,             0.76082,             0.97338,             0.92101,             0.48665,            0.036078,            0.015175,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.043392,            0.016761,                   0,             0.98518,                   1,             0.99381,             0.55231,            0.032624,            0.014929,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.039309,             0.01575,                   0,             0.91664,             0.98964,             0.97015,             0.55624,            0.029875,            0.012574,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.038377,            0.014481,                   0,             0.98771,                   1,             0.99492,             0.69151,            0.025062,            0.011556,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.036991,             0.01306,                   0,             0.98115,                   1,             0.99152,             0.50518,            0.035006,             0.01118,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.035281,            0.012796,                   0,             0.98231,             0.99967,              0.9946,              0.7428,            0.021872,            0.010726,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.031829,            0.012054,                   0,             0.98421,                   1,             0.99345,             0.53639,             0.02494,           0.0096353,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.033945,            0.011638,                   0,             0.99736,                   1,               0.995,             0.67579,            0.021881,           0.0094866,                   0,             0.00703,             0.00703,             0.00703
