               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10169,            0.031376,                   0,           0.0015172,             0.11074,          0.00096476,          0.00022465,            0.093676,            0.029115,                   0,            0.070789,           0.0032456,           0.0032456
                   1,            0.087443,            0.031891,                   0,           0.0017394,             0.52181,           0.0019226,          0.00040349,            0.089985,            0.028139,                   0,            0.040659,           0.0064487,           0.0064487
                   2,            0.080554,            0.031044,                   0,            0.002623,             0.78691,             0.20992,             0.06108,            0.073348,             0.02976,                   0,            0.010397,           0.0095198,           0.0095198
                   3,            0.071346,              0.0301,                   0,            0.071027,             0.35856,             0.05736,             0.01645,            0.063271,             0.02907,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.063473,            0.028937,                   0,            0.012259,             0.64262,            0.011445,           0.0050393,            0.063113,            0.044648,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.058086,             0.02598,                   0,             0.18527,             0.76678,              0.1766,            0.056804,            0.053614,            0.024682,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.053145,            0.024177,                   0,             0.44625,             0.75671,             0.45435,             0.13912,            0.055875,            0.020663,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.050105,            0.021065,                   0,             0.90615,             0.93962,             0.97408,             0.54294,            0.040155,            0.016941,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.046563,            0.018684,                   0,             0.94162,             0.94716,             0.98857,             0.60728,            0.035168,            0.015121,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.043713,            0.016321,                   0,             0.56226,             0.47651,             0.54134,             0.15229,            0.071054,            0.017169,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.042402,            0.014642,                   0,             0.89006,             0.66611,              0.7753,             0.43735,            0.050957,            0.016251,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.038874,            0.013454,                   0,              0.9834,                   1,              0.9943,             0.57021,            0.036793,            0.012148,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.037559,            0.013313,                   0,             0.95931,                   1,             0.99336,             0.61927,            0.031832,            0.011498,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.037358,            0.012227,                   0,             0.89232,              0.9733,             0.97817,               0.694,            0.026499,             0.01165,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.035856,            0.012242,                   0,             0.96837,                   1,             0.99208,             0.68246,            0.025212,              0.0106,                   0,            0.007426,            0.007426,            0.007426
