               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11902,            0.028022,                   0,           0.0014067,               0.092,           0.0010168,          0.00020866,             0.10402,            0.028955,                   0,              0.0721,              0.0031,              0.0031
                   1,             0.10198,             0.03025,                   0,           0.0022018,               0.144,           0.0017109,          0.00048135,             0.10012,            0.028887,                   0,            0.043175,           0.0061753,           0.0061753
                   2,            0.087956,            0.032706,                   0,           0.0024625,               0.526,           0.0053076,           0.0012705,            0.091639,            0.029658,                   0,            0.014124,           0.0091238,           0.0091238
                   3,            0.078396,            0.032082,                   0,            0.097235,               0.292,            0.075589,            0.034141,            0.064728,            0.031273,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.067566,            0.032186,                   0,            0.034189,               0.504,            0.030787,            0.011485,            0.077733,             0.02567,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.058915,            0.031581,                   0,            0.041642,               0.492,            0.037594,           0.0098206,            0.083369,            0.025735,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.05066,            0.030971,                   0,             0.44751,               0.544,             0.48031,             0.19361,            0.061741,            0.020347,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.048162,            0.026865,                   0,             0.84065,             0.91796,             0.92182,             0.44935,             0.04846,            0.017867,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.045066,            0.022418,                   0,             0.89827,             0.95359,             0.96394,             0.54163,            0.036451,            0.020497,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041844,             0.02049,                   0,             0.97365,               0.986,             0.99056,             0.46115,            0.038017,            0.015014,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.039581,            0.017278,                   0,             0.98623,                   1,             0.99366,             0.43065,            0.040867,            0.013853,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.03921,            0.015458,                   0,             0.96069,                   1,              0.9858,             0.57838,            0.032075,            0.012048,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.035715,            0.014714,                   0,             0.97062,                   1,             0.98945,             0.62795,            0.029704,            0.012234,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.033946,            0.013026,                   0,             0.99913,                   1,               0.995,             0.59491,            0.029598,            0.010787,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.033649,            0.013008,                   0,             0.99956,                   1,               0.995,             0.65496,             0.02977,            0.010232,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.033558,            0.012072,                   0,             0.99964,                   1,               0.995,             0.76519,            0.027438,            0.009542,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.031294,            0.012031,                   0,             0.99965,                   1,               0.995,             0.71602,             0.02201,            0.009248,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.029715,            0.012089,                   0,             0.99539,                   1,               0.995,             0.66378,             0.02379,           0.0091429,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.027598,            0.011543,                   0,             0.99967,                   1,               0.995,             0.60586,            0.027087,           0.0086367,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.028681,            0.011078,                   0,             0.99965,                   1,               0.995,             0.65274,            0.025259,           0.0087168,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.027203,            0.010117,                   0,             0.99977,                   1,               0.995,             0.68914,            0.022117,           0.0081247,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.02637,             0.01036,                   0,             0.99979,                   1,               0.995,             0.69934,            0.020088,           0.0078315,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.025662,            0.010031,                   0,             0.99982,                   1,               0.995,             0.74752,              0.0188,           0.0076459,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.025028,           0.0098083,                   0,             0.99981,                   1,               0.995,             0.73977,              0.0177,           0.0074201,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.024491,           0.0096715,                   0,             0.99978,                   1,               0.995,             0.78786,            0.017637,           0.0071982,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.023527,           0.0095397,                   0,             0.99976,                   1,               0.995,             0.79795,            0.017439,           0.0073156,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.023132,            0.009529,                   0,             0.99983,                   1,               0.995,             0.78153,            0.017061,           0.0070887,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.023606,           0.0093625,                   0,             0.99978,                   1,               0.995,             0.79914,            0.016801,           0.0069908,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.021351,           0.0089083,                   0,             0.99979,                   1,               0.995,             0.80491,            0.016701,           0.0067944,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.021323,           0.0087993,                   0,             0.99981,                   1,               0.995,             0.82551,            0.014559,           0.0064523,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.021365,           0.0086122,                   0,             0.99982,                   1,               0.995,             0.83641,            0.014119,           0.0064982,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.020535,           0.0087114,                   0,             0.99984,                   1,               0.995,             0.81758,            0.015155,           0.0064522,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.020545,           0.0084471,                   0,             0.99985,                   1,               0.995,             0.78132,            0.016472,           0.0064366,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.019705,           0.0083516,                   0,             0.99985,                   1,               0.995,             0.83038,            0.014963,           0.0063601,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.020018,            0.008109,                   0,             0.99986,                   1,               0.995,             0.83934,            0.013728,            0.006251,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.018581,           0.0080819,                   0,             0.99986,                   1,               0.995,             0.83415,            0.014156,           0.0060993,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.018674,           0.0079564,                   0,             0.99985,                   1,               0.995,             0.82953,            0.014577,           0.0060874,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.017776,           0.0082268,                   0,             0.99986,                   1,               0.995,             0.84302,            0.013599,           0.0059935,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.017267,           0.0077083,                   0,             0.99986,                   1,               0.995,             0.84458,            0.013242,           0.0059172,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.017782,            0.007467,                   0,             0.99984,                   1,               0.995,             0.83756,            0.013311,           0.0058779,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.017198,           0.0075556,                   0,             0.99985,                   1,               0.995,             0.81502,            0.014792,           0.0059802,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.016544,           0.0077675,                   0,             0.99986,                   1,               0.995,              0.8464,            0.013063,           0.0057482,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.016217,           0.0076224,                   0,             0.99986,                   1,               0.995,             0.84782,             0.01271,            0.005694,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.01572,           0.0076803,                   0,             0.99987,                   1,               0.995,             0.84836,            0.012997,           0.0056697,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.016034,            0.007333,                   0,             0.99986,                   1,               0.995,             0.84145,            0.013181,           0.0056514,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.015463,           0.0071325,                   0,             0.99986,                   1,               0.995,             0.84726,            0.012993,           0.0056368,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.015192,           0.0074425,                   0,             0.99986,                   1,               0.995,             0.84771,            0.012582,           0.0055469,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.015014,           0.0072599,                   0,             0.99986,                   1,               0.995,             0.85238,            0.012825,           0.0055545,                   0,            0.000892,            0.000892,            0.000892
